Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
TRECx1516,WMF,age%,020%,N,-,-,0.11014,0.11799,0.10235,0.12346,0.13108,0.11581,0.12198,0.12645,0.11746,2.31345,2.18488,2.45986,22.89,11.63,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0001000,-,0.11014,0.11799,0.10235,0.12346,0.13108,0.11581,0.12198,0.12645,0.11746,2.31345,2.18488,2.45986,22.89,11.63,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0005000,-,0.11014,0.11799,0.10235,0.12346,0.13108,0.11581,0.12198,0.12645,0.11746,2.31345,2.18488,2.45986,22.89,11.63,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0010000,-,0.11014,0.11799,0.10235,0.12346,0.13108,0.11581,0.12198,0.12645,0.11746,2.31345,2.18488,2.45986,22.89,11.63,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0050000,-,0.10987,0.11745,0.10235,0.12301,0.13018,0.11581,0.12162,0.12575,0.11746,2.31515,2.18824,2.45986,22.92,11.67,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0010000,-,0.11014,0.11799,0.10235,0.12346,0.13108,0.11581,0.12198,0.12645,0.11746,2.31345,2.18488,2.45986,22.89,11.63,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0050000,-,0.10987,0.11745,0.10235,0.12301,0.13018,0.11581,0.12162,0.12575,0.11746,2.31515,2.18824,2.45986,22.92,11.67,13.53,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0100000,-,0.11,0.11621,0.1039,0.12323,0.12838,0.11814,0.1218,0.1239,0.11974,2.31432,2.18922,2.45715,22.89,11.67,13.5,57.0,0,60.0,15,4390==117.0
TRECx1516,WMF,age%,020%,C,0.0500000,-,0.10689,0.10254,0.11166,0.11845,0.10721,0.13023,0.11754,0.10469,0.13087,2.30874,2.18724,2.4478,22.89,11.77,13.43,56.0,0,61.0,16,4390==117.0
