Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
TRECx1516,UserKNN-BM25,age%,020%,N,-,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0001000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0005000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0010000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0050000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0010000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0050000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0100000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77785,8.77763,8.77808,0.97,0.93,0.76,0.0,0,0.0,0,4390==0.0
TRECx1516,UserKNN-BM25,age%,020%,C,0.0500000,-,0.00045,0.00032,0.00059,0.00046,0.00045,0.00047,0.00048,0.00045,0.00052,8.77749,8.77691,8.77808,1.07,0.97,0.83,0.0,0,0.0,0,4390==0.0
