Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
MovieLenz100k,WMF,gender%,020%,N,-,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.90983,5.94197,5.88323,94.27,71.05,73.97,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0001000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.90966,5.94158,5.88323,94.27,71.05,73.97,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0005000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.90983,5.94158,5.88354,94.27,71.05,73.97,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0010000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.91035,5.94155,5.88453,94.17,71.05,73.87,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0050000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.91203,5.94024,5.88867,94.08,71.24,73.59,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0010000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.91035,5.94155,5.88453,94.17,71.05,73.87,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0050000,-,0.01413,0.00895,0.01841,0.01102,0.00664,0.01465,0.0187,0.01106,0.02503,5.91203,5.94024,5.88867,94.08,71.24,73.59,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0100000,-,0.01435,0.00895,0.01883,0.01122,0.00664,0.01502,0.0191,0.01106,0.02576,5.90996,5.93647,5.88802,93.89,71.15,73.4,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,gender%,020%,C,0.0500000,-,0.01478,0.00806,0.02035,0.01162,0.00575,0.01648,0.01977,0.00959,0.02821,5.90864,5.9206,5.89873,93.98,71.8,72.65,11.0,0,5.0,0,4990==16.0
