Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
MovieLenz100k,BPR,gender%,020%,N,-,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0001000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0005000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0010000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0050000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0010000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0050000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0100000,-,0.08602,0.07279,0.09698,0.0517,0.04115,0.06044,0.08858,0.07028,0.10372,3.1269,3.1269,3.1269,0.94,0.94,0.94,499.0,34,0.0,0,4990==499.0
MovieLenz100k,BPR,gender%,020%,C,0.0500000,-,0.08622,0.07235,0.09769,0.0519,0.04071,0.06117,0.08891,0.06954,0.10495,3.12659,3.12653,3.12665,1.22,1.22,1.13,499.0,34,0.0,0,4990==499.0
