Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
MovieLenz100k,UserKNN-BM25,gender%,020%,N,-,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40153,7.3666,7.43045,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0001000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0005000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0010000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0050000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0010000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0050000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0100000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
MovieLenz100k,UserKNN-BM25,gender%,020%,C,0.0500000,-,0.00312,0.00384,0.00252,0.0022,0.00265,0.00183,0.00374,0.00457,0.00305,7.40229,7.36494,7.43321,20.02,17.95,16.82,-0.0,0,0.0,0,4990==0.0
