Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
MovieLenz100k,PF,gender%,020%,N,-,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38128,4.44519,4.32837,23.31,21.71,22.27,99.0,8,0.0,0,4990==99.0
MovieLenz100k,PF,gender%,020%,C,0.0001000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38128,4.44519,4.32837,23.31,21.71,22.27,99.0,8,0.0,0,4990==99.0
MovieLenz100k,PF,gender%,020%,C,0.0005000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38131,4.44519,4.32843,23.31,21.71,22.27,99.0,8,0.0,0,4990==99.0
MovieLenz100k,PF,gender%,020%,C,0.0010000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38215,4.44703,4.32843,23.31,21.8,22.27,99.0,8,0.0,0,4990==99.0
MovieLenz100k,PF,gender%,020%,C,0.0050000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38203,4.44735,4.32797,23.4,21.9,22.37,98.0,8,0.0,0,4990==98.0
MovieLenz100k,PF,gender%,020%,C,0.0010000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38215,4.44703,4.32843,23.31,21.8,22.27,99.0,8,0.0,0,4990==99.0
MovieLenz100k,PF,gender%,020%,C,0.0050000,-,0.06693,0.06329,0.06994,0.04289,0.03938,0.04579,0.07275,0.06689,0.07759,4.38203,4.44735,4.32797,23.4,21.9,22.37,98.0,8,0.0,0,4990==98.0
MovieLenz100k,PF,gender%,020%,C,0.0100000,-,0.06713,0.06329,0.0703,0.04309,0.03938,0.04615,0.07308,0.06689,0.07821,4.38181,4.44755,4.32739,23.4,21.9,22.37,98.0,8,0.0,0,4990==98.0
MovieLenz100k,PF,gender%,020%,C,0.0500000,-,0.06733,0.06243,0.07139,0.04329,0.0385,0.04725,0.07341,0.06541,0.08004,4.38942,4.4576,4.33298,24.25,22.84,22.65,97.0,8,0.0,0,4990==97.0
