Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Rel_Short,Long_Items,Rel_Long,All_Items
MovieLenz100k,WMF,age%,020%,N,-,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90983,5.89965,5.921,94.27,71.9,71.33,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0001000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90983,5.89965,5.921,94.27,71.9,71.33,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0005000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90859,5.89727,5.921,94.27,71.9,71.33,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0010000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90843,5.89648,5.92153,94.17,71.9,71.24,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0050000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90794,5.89391,5.92332,94.08,71.9,71.24,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0010000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90843,5.89648,5.92153,94.17,71.9,71.24,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0050000,-,0.01413,0.01536,0.01277,0.01102,0.01149,0.0105,0.0187,0.01967,0.01765,5.90794,5.89391,5.92332,94.08,71.9,71.24,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0100000,-,0.01435,0.01536,0.01325,0.01122,0.01149,0.01092,0.0191,0.01967,0.01849,5.90646,5.89143,5.92295,93.98,71.99,71.15,11.0,0,5.0,0,4990==16.0
MovieLenz100k,WMF,age%,020%,C,0.0500000,-,0.01392,0.01336,0.01453,0.01082,0.00958,0.01218,0.01837,0.01635,0.02059,5.90442,5.87062,5.94148,93.98,72.93,70.58,11.0,0,5.0,0,4990==16.0
